 M 
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
TRIUNFANTE MATOGROSSENSE ALIMENTOS LTDA                                                                                                    12 Faturamento          Ref:em11302
Filial: CAMPO GRANDE                                                                                                                                    Emissao    Hora   Folha
                                          CURVA ABC DE CLIENTES SOBRE VENDAS REFERENTE A VALORES NO PERIODO DE 04/12/23 A 04/12/23                      04/12/23   10:02   0001
-----GRUPO TRIUNFANTE-----------------------------------------------------------------------------------------------------------------------------------Usuario: willian-------
Ranking *---------------Cliente----------------* Cidade          Endereco            Peso Bruto      Caixas          Valor    %PB    %Cx   %Vlr   %ACP   %ACG  Repr Pr.Medio Censo

 Fornec: GERAL                Repres: GERAL                 Linha: GERAL                 Censo: GERAL

      1   9531413001220 OLIVEIRA E CARNEIRO LTDA CAMPO GRANDE    AV PRINCIPAL 01            179      26,000       4.674,14  48,42  41,08  35,73  35,73  35,73    23     7,92  A35
      2  28637953000184 DMS SUPERMERCADO EIRELI  CAMPO GRANDE    RUA TAPAUA                  38       8,503       1.608,64  10,50  13,43  12,29  48,03  48,03   155     6,61  A15
      3  14314754000120 M A DA SILVA PRODUTOS AL CAMPO GRANDE    AFLUENTE                    17       3,988         889,11   4,65   6,30   6,79  54,83  54,83   451     1,52  A14
      4  20148166000167 QUEIROZ E FIEDLER LTDA   CAMPO GRANDE    RUA FRAIBURGO               11       2,913         866,19   3,19   4,60   6,62  61,45  61,45   153    23,41  A08
      5  44103241000131 EMPORIO LOJA DE CONVENIE CAMPO GRANDE    CONDE DE BOA VISTA          15       2,546         746,79   4,05   4,02   5,70  67,16  67,16   451     2,88  456
      6  43219993000108 MARTINS ACOUGUE E CONVEN CAMPO GRANDE    RUA JANUARIO BARBOSA         8       2,130         412,40   2,30   3,36   3,15  70,31  70,31   457     1,09  A13
      7   4707705000102 DROGARIA S L LTDA        CAMPO GRANDE    PADRE JOAO CRIPPA            7       1,043         386,29   1,98   1,64   2,95  73,27  73,27   120     6,33  A08
      8  13595540000107 FERREIRA E CONCEICAO LTD CAMPO GRANDE    SERRA DAS ARARAS             7       0,999         379,06   1,98   1,57   2,89  76,17  76,17   455     5,57  A02
      9   8066034000190 NEVES E PINHEIRO LTDA    CAMPO GRANDE    RUA BRILHANTE 982            4       0,830         318,66   1,20   1,31   2,43  78,60  78,60   451     3,74  A14
     10   8717115000103 J L L  LANCHES E REFEICO CAMPO GRANDE    REDENTOR                    12       2,148         306,84   3,37   3,39   2,34  80,95  80,95   155     8,76  A16
     11  17522652000199 RODRIGUES E LOPES MERCAD CAMPO GRANDE    CONGONHAS                    5       1,592         289,54   1,49   2,51   2,21  83,16  83,16   451     1,02  A02
     12  30490641000132 ADILSON JOSE PUCENA      CAMPO GRANDE    RUA DOUTOR EULER DE          5       0,802         262,26   1,40   1,26   2,00  85,17  85,17   457     3,27  456
     13  18580448000197 DENILSE MATOS IBARRA     CAMPO GRANDE    TRAVESSA IBEMA               4       1,092         252,60   1,22   1,72   1,93  87,10  87,10   455     1,61  A02
     14  38267695000145 LEIVAS LEITE DE OLIVEIRA CAMPO GRANDE    RUA ANGELO BUDIB             4       1,273         238,52   1,30   2,01   1,82  88,92  88,92   457     1,10  A14
     15  28024910000123 EDEVALDO ARAUJO SILVA    CAMPO GRANDE    RUA ARCEBURGO                8       0,951         209,17   2,25   1,50   1,59  90,52  90,52   153     4,02  A14
     16   7742942000194 MERCADO D E V LTDA.      CAMPO GRANDE    RUA TOPOGRAFOS               3       0,748         199,14   1,00   1,18   1,52  92,04  92,04   453     2,76  A14
     17  43317991000143 ERICSON SOLER BENITES    CAMPO GRANDE    RUA SIZUO NAKAZATO           7       0,996         157,85   2,14   1,57   1,20  93,25  93,25   459     2,92  A15
     18  13847909000121 NICANOR RODRIGUES DOS SA CAMPO GRANDE    RUA HAFAN FELICIO            3       0,625         146,56   0,83   0,98   1,12  94,37  94,37   453     4,18  A14
     19  22929093000176 LG CASA DE CARNE E CONVE CAMPO GRANDE    URIAS CAETANO DA SIL         2       0,693         131,04   0,67   1,09   1,00  95,37  95,37   457     1,04  1
     20  35645835000183 JEFERSON CARLOS LOPES DO CAMPO GRANDE    MARQUES DE LAVRADIO          4       0,744         128,90   1,23   1,17   0,98  96,36  96,36   459     1,65  A50
     21  21851460000101 FABIO LANES SIRANGELO ME CAMPO GRANDE    EPAMINONDAS CAMPOS           6       0,775         119,08   1,72   1,22   0,91  97,27  97,27   455     2,83  456
     22  29938119000191 ANA PAULA FERREIRA DE SO CAMPO GRANDE    RUA DOM LADISLAU PAZ         2       0,405         117,02   0,76   0,64   0,89  98,16  98,16   457     2,16  A14
     23  22075362000184 WESLLEY ENDERSON LISBOA  CAMPO GRANDE    JENIPAVA                     2       0,596         112,30   0,57   0,94   0,85  99,02  99,02   451     1,03  456
     24  28997172000109 Moreira mercado e conven CAMPO GRANDE    Catigua                      6       0,721         110,58   1,65   1,13   0,84  99,87  99,87   453     2,83  K15
     25  15860752000108 ANVILU COMERCIO DE MEDIC CAMPO GRANDE    CACHOEIRA DO CAMPO           0       0,166          16,75   0,02   0,26   0,12 100,00 100,00   151     8,37  A08

                                                              Total destes clientes:        370      63,279      13.079,43 100,00 100,00 100,00 100,00 100,00

                                                                        Total geral:        370      63,279      13.079,43 100,00 100,00 100,00 100,00 100,00
