 M 
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
TRIUNFANTE MATOGROSSENSE ALIMENTOS LTDA                                                                                                    12 Faturamento   Ref:em11302
Filial: CAMPO GRANDE                                                                                                                                    Emissao    Hora   Folha
                                          CURVA ABC DE CLIENTES SOBRE VENDAS REFERENTE A VALORES NO PERIODO DE 06/12/22 A 06/12/22                      06/12/22   11:46   0001
-----GRUPO TRIUNFANTE-----------------------------------------------------------------------------------------------------------------------------------Usuario: luiz----------
Ranking *---------------Cliente----------------* Cidade          Endereco            Peso Bruto      Caixas          Valor    %PB    %Cx   %Vlr   %ACP   %ACG  Repr Pr.Medio Censo

 Fornec: GERAL                Repres: GERAL                 Linha: GERAL                 Censo: GERAL

      1  24109960000233 H R FERREIRA MORENO EIRE CAMPO GRANDE    PRESIDENTE TANCREDO         35       6,879       1.523,43  11,63  11,66  10,80  10,80  10,80   453     2,21  A15
      2  24109960000314 H R FERREIRA MORENO EIRE CAMPO GRANDE    AVENIDA CAMPESTRE           36       5,880       1.495,24  11,95   9,97  10,60  21,41  21,41   453     3,16  A15
      3  10341960000330 GABY SUPERMERCADOS LTDA  CAMPO GRANDE    RUA ZACARIA DE PAULA        25       5,971       1.168,47   8,49  10,12   8,28  29,70  29,70   451     1,35  A02
      4  24109960000152 H R FERREIRA MORENO EIRE CAMPO GRANDE    ARQUITETO VILANOVA A        27       5,591       1.009,74   9,15   9,48   7,16  36,86  36,86   453     1,35  A14
      5  11225384000167 ANDRE LIMA DE OLIVEIRA   CAMPO GRANDE    DA DIVISAO                  18       3,674         954,23   6,08   6,23   6,76  43,63  43,63   453     2,60  456
      6  35951356000195 ELIANE CANEDO DA SILVA   CAMPO GRANDE    RUA ELMIRIA FERREIRA        15       2,540         952,24   4,96   4,30   6,75  50,38  50,38   101     3,76  A14
      7  23894307000189 ILARI ILARIE COM E SERV  CAMPO GRANDE    AVENIDA NOROESTE            12       2,108         783,45   4,13   3,57   5,55  55,94  55,94   455     2,94  K10
      8  26764311000110 KF CORREA ME             CAMPO GRANDE    RUA ANTONIO MARIA CO        14       2,899         760,44   4,79   4,91   5,39  61,34  61,34   457     3,39  456
      9  34683531000148 MERCADO MERCE LTDA       CAMPO GRANDE    RUA JOSE PEREIRA            14       2,019         696,08   4,72   3,42   4,93  66,27  66,27   455     2,40  A14
     10  13285808000104 FAULLER FERNANDO NOGUEIR CAMPO GRANDE    SANTA QUITERIA               9       2,791         503,74   3,26   4,73   3,57  69,85  69,85   453     0,99  A14
     11  38828793000104 ORION COMERCIO DE ALIMEN CAMPO GRANDE    RUA JORNALISTA VALDI         9       1,614         404,82   3,08   2,73   2,87  72,72  72,72   453     2,36  456
     12  27946690000122 LIMA FERNANDES RESTAURAN CAMPO GRANDE    RUA DOM AQUINO               2       0,359         345,69   0,72   0,60   2,45  75,17  75,17   455     1,63  A16
     13  37756088000186 SIMONE HENNES ARAUJO     CAMPO GRANDE    RUA DONA HENRIQUETA          2       0,498         292,02   0,69   0,84   2,07  77,24  77,24   455     4,05  A03
     14   4616605000162 COMERCIAL NASHIVILLE LTD CAMPO GRANDE    CLELIA SANTOS DA ROS         2       1,249         256,88   0,75   2,11   1,82  79,06  79,06   153    16,05  A15
     15   9070250000172 AUTO CONVENIENCIA LTDA   CAMPO GRANDE    AFONSO PENA                  4       0,778         252,04   1,58   1,31   1,78  80,85  80,85   455     4,84  456
     16  21172867000102 NORBERTO VIEIRA QUINTILI CAMPO GRANDE    TAIOBA                       3       0,624         233,93   1,24   1,05   1,65  82,51  82,51   455     3,29  A14
     17  25117031000158 MPB COMERCIO DE ALIMENTO CAMPO GRANDE    DOUTOR OLAVO VILELLA         4       1,287         232,57   1,51   2,18   1,64  84,16  84,16   459     0,99  A15
     18  42066184000132 IASMIN YUKIE YAMAGUSHI   CAMPO GRANDE    RUA NOBRES                   4       0,681         210,12   1,61   1,15   1,49  85,65  85,65   457     2,30  A14
     19   8717115000103 J L L  LANCHES E REFEICO CAMPO GRANDE    REDENTOR                     2       1,496         207,61   0,75   2,53   1,47  87,12  87,12   156    11,53  A16
     20  25287698000107 FRANCISCO WANDIE DE OLIV CAMPO GRANDE    RUA JANDAIA DO SUL           5       1,167         199,62   1,76   1,97   1,41  88,54  88,54   451     1,12  A02
     21   1621081000100 PANIFICADORA E CONFEIT P CAMPO GRANDE    RUA CARLINDA TOGNINI         4       1,014         174,47   1,47   1,71   1,23  89,78  89,78   459     1,14  A07
     22  24640306000170 ANDERSON ALVES DO NASCIM CAMPO GRANDE    SOUZA LIMA                  10       0,800         170,06   3,46   1,35   1,20  90,98  90,98   153    14,17  A14
     23  38527090000146 JAIRO PEREIRA DE OLIVEIR CAMPO GRANDE    RUA SANTA MONICA             3       0,629         169,53   1,08   1,06   1,20  92,19  92,19   457     1,61  A02
     24  14960841000155 BRENO BLANCH BERGOLI     CAMPO GRANDE    SPIPE CALARGE                4       0,692         162,08   1,62   1,17   1,14  93,34  93,34   459     3,95  456
     25  12551418000176 ITANHANGA CONVENIENCIAS  CAMPO GRANDE    JOAQUIM MURTINHO             4       0,787         135,20   1,44   1,33   0,95  94,30  94,30   455     3,75  456
     26  79072427000155 PANIFICADORA E CONF FLAM CAMPO GRANDE    DOS CRISANTEMOS              3       0,696         128,71   1,01   1,18   0,91  95,21  95,21   457     2,01  A07
     27  39326224000123 DROGARIA VALENTE ARAUJO  CAMPO GRANDE    RUA LUCIA HELENA COE         2       0,374         120,28   0,80   0,63   0,85  96,06  96,06   159     8,01  A08
     28  43774721000161 EMANUELLE OLIVEIRA PAIM  CAMPO GRANDE    RUA QUATORZE DE JULH         2       0,499         119,55   0,84   0,84   0,84  96,91  96,91   159    29,88  A28
     29  16842368000137 PANIFICADORA ALBUQUERQUE CAMPO GRANDE    JULIO VERNE                  5       0,718         111,54   1,95   1,21   0,79  97,70  97,70   459     2,86  A07
     30  35511975000169 M B COM DE CARNES FRIOS  CAMPO GRANDE    RUA ALBERT SABIN             4       1,000         107,75   1,59   1,69   0,76  98,47  98,47   151     4,48  456
     31  19373399000184 IVOLIN KAPPELER FLORES   CAMPO GRANDE    RUA DA PATRIA                4       0,850         105,07   1,47   1,44   0,74  99,21  99,21   151     3,62  A14
     32  27020626000116 MANOEL CARNEIRO DE SOUZA CAMPO GRANDE    DA PATRIA                    0       0,666          63,94   0,14   1,12   0,45  99,66  99,66   151     7,99  A14
     33  13028598000179 SILVANIA DO AMARAL MEI   CAMPO GRANDE    VILLA LOBOS                  0       0,124          46,61   0,10   0,21   0,33 100,00 100,00   151    23,30  A02

                                                              Total destes clientes:        305      58,954      14.097,15 100,00 100,00 100,00 100,00 100,00

                                                                        Total geral:        305      58,954      14.097,15 100,00 100,00 100,00 100,00 100,00
