 M 
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
TRIUNFANTE MATOGROSSENSE ALIMENTOS LTDA                                                                                                    12 Faturamento          Ref:em11302
Filial: CAMPO GRANDE                                                                                                                                    Emissao    Hora   Folha
                                          CURVA ABC DE CLIENTES SOBRE VENDAS REFERENTE A VALORES NO PERIODO DE 07/11/23 A 07/11/23                      07/11/23   11:06   0001
-----GRUPO TRIUNFANTE-----------------------------------------------------------------------------------------------------------------------------------Usuario: willian-------
Ranking *---------------Cliente----------------* Cidade          Endereco            Peso Bruto      Caixas          Valor    %PB    %Cx   %Vlr   %ACP   %ACG  Repr Pr.Medio Censo

 Fornec: GERAL                Repres: GERAL                 Linha: GERAL                 Censo: GERAL

      1  18130615000106 SUPERMERCADO SAO CAETANO CAMPO GRANDE    RUA COTEGIPE                28       7,985       1.281,60  15,96  21,02  15,22  15,22  15,22   457     0,89  K10
      2  28638434000211 HF COMERCIO DE ALIMENTOS CAMPO GRANDE    RUA OREADE                  17       4,987         801,00   9,97  13,13   9,51  24,74  24,74   453     0,89  A02
      3  23894307000189 ILARI ILARIE COM E SERV  CAMPO GRANDE    AVENIDA NOROESTE             7       1,052         646,35   4,08   2,77   7,67  32,41  32,41   455     1,77  K10
      4  11225384000167 ANDRE LIMA DE OLIVEIRA   CAMPO GRANDE    DA DIVISAO                  11       2,283         507,91   6,39   6,01   6,03  38,45  38,45   453     1,86  456
      5  16755135000105 SANDIM E RODRIGUES LTDA  CAMPO GRANDE    SANTA MONICA                 6       1,665         452,90   3,87   4,38   5,38  43,83  43,83   457     3,77  456
      6  38828793000104 ORION COMERCIO DE ALIMEN CAMPO GRANDE    RUA JORNALISTA VALDI         7       1,444         374,56   4,16   3,80   4,44  48,28  48,28   453     2,29  456
      7  10602507000330 COMERCIO DE ALIMENTOS AN CAMPO GRANDE    CALOGERAS                   13       1,994         357,20   7,79   5,25   4,24  52,52  52,52   455     0,67  A35
      8  25287698000107 FRANCISCO WANDIE DE OLIV CAMPO GRANDE    RUA JANDAIA DO SUL           6       1,197         329,96   3,64   3,15   3,91  56,44  56,44   451     2,48  A02
      9   5432290000166 EDSON APARECIDO DA SILVA CAMPO GRANDE    PEDRO MENDES FONTOUR         7       1,990         320,40   3,99   5,24   3,80  60,25  60,25   453     0,89  A15
     10  17701561000110 CLAUDIVA PIRES DE OLIVEI CAMPO GRANDE    RUA ENGENHEIRO LUTHE         6       1,187         315,83   3,38   3,12   3,75  64,00  64,00   453     4,38  A14
     11  13847909000121 NICANOR RODRIGUES DOS SA CAMPO GRANDE    RUA HAFAN FELICIO            7       1,251         315,80   4,22   3,29   3,75  67,75  67,75   153     5,95  A14
     12  25117031000158 MPB COMERCIO DE ALIMENTO CAMPO GRANDE    DOUTOR OLAVO VILELLA         3       0,750         265,29   2,22   1,97   3,15  70,90  70,90   459     5,20  A15
     13  13211223000140 LAIZA MUDO DA SILVA LTDA CAMPO GRANDE    AVENIDA TAMANDARE            3       0,536         230,36   1,98   1,41   2,73  73,64  73,64   457     3,19  A09
     14  16842368000137 PANIFICADORA ALBUQUERQUE CAMPO GRANDE    JULIO VERNE                  5       0,782         227,15   3,11   2,05   2,69  76,34  76,34   459     5,54  A07
     15  34327085000139 LEONARDO COSTA LEITE S B CAMPO GRANDE    RUA SPIPE CALARGE            4       0,698         223,00   2,57   1,83   2,64  78,99  78,99   459     4,46  456
     16  12417592000201 REBELO COMERCIO DE PROD. CAMPO GRANDE    AV RITA VIEIRA DE AN         2       0,556         220,54   1,53   1,46   2,61  81,61  81,61   459     5,51  A07
     17  23430217000137 COM DE BEB E CONV TENORI CAMPO GRANDE    NOSSO SENHOR DO BOMF         5       1,215         218,77   3,16   3,19   2,59  84,21  84,21   155     4,65  456
     18  14960841000155 BRENO BLANCH BERGOLI     CAMPO GRANDE    SPIPE CALARGE                2       0,500         218,04   1,63   1,31   2,59  86,80  86,80   459     6,41  456
     19   8647783000101 A DE OLIVEIRA SUPERMERCA CAMPO GRANDE    GENERAL ALBERTO CARL         3       1,000         186,84   1,85   2,63   2,21  89,02  89,02   151    15,57  A15
     20  30017600000123 MERCADO SAO PEDRO EIRELI CAMPO GRANDE    GALDINO AFONSO VILEL         4       1,450         159,45   2,49   3,81   1,89  90,91  90,91   155     6,13  A14
     21  29755965000176 TEIXEIRA COM DE BEBIDAS  CAMPO GRANDE    RUA BENITO MELCHIADE         0       0,526         150,30   0,49   1,38   1,78  92,70  92,70   457     1,48  456
     22  29575076000127 MERCADO FIORENZA EIRELI  CAMPO GRANDE    CARLOS CHAGAS                5       0,925         143,92   2,96   2,43   1,70  94,41  94,41   151     5,75  A14
     23  10713751000109 POSTO FIGUEIRA RUI BARBO CAMPO GRANDE    RUA RUA TRINDADE 843         2       0,307         127,78   1,23   0,80   1,51  95,92  95,92   459     6,38  456
     24   9070250000172 AUTO CONVENIENCIA LTDA   CAMPO GRANDE    AFONSO PENA                  2       0,381         120,20   1,39   1,00   1,42  97,35  97,35   455     6,67  456
     25  27020626000116 MANOEL CARNEIRO DE SOUZA CAMPO GRANDE    DA PATRIA                    3       0,716         115,31   2,07   1,88   1,36  98,72  98,72   151     5,01  A14
     26  35511975000169 M B COM DE CARNES FRIOS  CAMPO GRANDE    RUA ALBERT SABIN             6       0,600         107,23   3,74   1,57   1,27 100,00 100,00   151     6,70  456

                                                              Total destes clientes:        178      37,977       8.417,69 100,00 100,00 100,00 100,00 100,00

                                                                        Total geral:        178      37,977       8.417,69 100,00 100,00 100,00 100,00 100,00
