 M 
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
TRIUNFANTE MATOGROSSENSE ALIMENTOS LTDA                                                                                                    12 Faturamento   Ref:em11302
Filial: CAMPO GRANDE                                                                                                                                    Emissao    Hora   Folha
                                          CURVA ABC DE CLIENTES SOBRE VENDAS REFERENTE A VALORES NO PERIODO DE 08/05/23 A 08/05/23                      08/05/23   11:36   0001
-----GRUPO TRIUNFANTE-----------------------------------------------------------------------------------------------------------------------------------Usuario: alyfer--------
Ranking *---------------Cliente----------------* Cidade          Endereco            Peso Bruto      Caixas          Valor    %PB    %Cx   %Vlr   %ACP   %ACG  Repr Pr.Medio Censo

 Fornec: GERAL                Repres: GERAL                 Linha: GERAL                 Censo: GERAL

      1  14870472000100 VASCONSELOS SANTOS E CIA CAMPO GRANDE    PRESIDENTE DELFIM MO        31      12,000       1.582,62  16,00  27,09  17,18  17,18  17,18   101    10,99  A35
      2  12373754000176 QUALITY PHARMA EIRELI    CAMPO GRANDE    RUA MARECHAL RONDON         17       3,036       1.001,73   8,77   6,85  10,87  28,06  28,06   455     2,86  A08
      3  22556115000108 MERCADO ALTONIA LTDA     CAMPO GRANDE    ELVIRA PACHECO SAMPA        28       4,822         899,18  14,50  10,88   9,76  37,82  37,82   459     4,99  A14
      4  73399826000149 LUZ E SLAVEC LTDA        CAMPO GRANDE    FILOMENA SEGUNDO DO         11       2,096         759,12   5,61   4,73   8,24  46,07  46,07   459     3,13  A08
      5  35615477000166 FERREIRA COM VAREJ MERC  CAMPO GRANDE    AV JOSE PEREIRA             13       5,000         659,85   6,66  11,28   7,16  53,23  53,23   151    10,99  A02
      6  46163330000107 JURANDIR SARAIVA         CAMPO GRANDE    RUA DOS SERVIDORES P         9       1,349         466,93   4,65   3,04   5,07  58,30  58,30   459     6,39  A15
      7  22075362000184 WESLLEY ENDERSON LISBOA  CAMPO GRANDE    JENIPAVA                     9       1,746         407,08   4,93   3,94   4,42  62,72  62,72   451     1,81  456
      8  34327085000139 LEONARDO COSTA LEITE S B CAMPO GRANDE    RUA SPIPE CALARGE            8       1,069         406,22   4,49   2,41   4,41  67,13  67,13   459     6,34  456
      9  17497134000162 CONVENIENCIA FIGUEIRA EI CAMPO GRANDE    CORONEL  ANTONINO            6       1,049         383,94   3,09   2,36   4,16  71,30  71,30   455     4,31  456
     10  30490641000132 ADILSON JOSE PUCENA      CAMPO GRANDE    RUA DOUTOR EULER DE          4       1,068         266,98   2,45   2,41   2,89  74,20  74,20   457     1,45  456
     11  43219993000108 MARTINS ACOUGUE E CONVEN CAMPO GRANDE    RUA JANUARIO BARBOSA         5       1,224         255,65   2,71   2,76   2,77  76,98  76,98   457     1,46  A13
     12  31327173000142 EMPORIO CARANDA PROD ALI CAMPO GRANDE    AVENIDA ANTONIO TEOD         4       1,095         248,49   2,28   2,47   2,69  79,68  79,68   455     1,47  K09
     13  23096567000109 VALDERCIR LIMA DE ALMEID CAMPO GRANDE    AVENIDA ORLANDO DARO         4       1,555         225,58   2,29   3,51   2,44  82,13  82,13   155     8,67  A15
     14  44103241000131 EMPORIO LOJA DE CONVENIE CAMPO GRANDE    CONDE DE BOA VISTA           3       0,582         223,43   1,86   1,31   2,42  84,55  84,55   451     6,57  456
     15  38075613000160 GILVAN LINO DA SILVA     CAMPO GRANDE    CARLOTA MASSA FARINA         7       0,997         209,79   3,61   2,25   2,27  86,83  86,83   459     3,22  A14
     16  29938119000191 ANA PAULA FERREIRA DE SO CAMPO GRANDE    RUA DOM LADISLAU PAZ         3       0,605         171,25   1,53   1,36   1,85  88,69  88,69   457     2,85  A14
     17  15860752000108 ANVILU COMERCIO DE MEDIC CAMPO GRANDE    CACHOEIRA DO CAMPO           2       0,499         167,54   1,22   1,12   1,81  90,51  90,51   151    27,92  A08
     18  35213094000161 AILTON NOGUEIRA          CAMPO GRANDE    RUA CACHOEIRA DO CAM         4       0,700         160,90   2,18   1,58   1,74  92,26  92,26   151    10,05  A09
     19  42902033000177 KETLEN STHEFHANY COLMAM  CAMPO GRANDE    RUA CIBELE                   7       1,627         154,77   3,66   3,67   1,68  93,94  93,94   151     3,68  A14
     20  21851460000101 FABIO LANES SIRANGELO ME CAMPO GRANDE    EPAMINONDAS CAMPOS           4       0,587         153,61   2,31   1,32   1,66  95,61  95,61   455     5,68  456
     21  18580448000197 DENILSE MATOS IBARRA     CAMPO GRANDE    TRAVESSA IBEMA               2       0,498         134,76   1,20   1,12   1,46  97,07  97,07   455     2,80  A02
     22  44273570000120 COMERCIAL JF LTDA        CAMPO GRANDE    RUA DO SEMINARIO             1       0,332         111,44   0,69   0,74   1,21  98,28  98,28   457     1,85  A14
     23   1621081000100 PANIFICADORA E CONFEIT P CAMPO GRANDE    RUA CARLINDA TOGNINI         0       0,332          79,82   0,49   0,74   0,86  99,15  99,15   459     2,66  A07
     24  18284334000108 BONACOLSE FRIOS E CONVEN CAMPO GRANDE    RUA CLINEU DA COSTA          5       0,427          78,25   2,70   0,96   0,84 100,00 100,00   151    11,17  A02

                                                              Total destes clientes:        197      44,295       9.208,93 100,00 100,00 100,00 100,00 100,00

                                                                        Total geral:        197      44,295       9.208,93 100,00 100,00 100,00 100,00 100,00
