 M 
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
TRIUNFANTE MATOGROSSENSE ALIMENTOS LTDA                                                                                                    12 Faturamento          Ref:em11302
Filial: CAMPO GRANDE                                                                                                                                    Emissao    Hora   Folha
                                          CURVA ABC DE CLIENTES SOBRE VENDAS REFERENTE A VALORES NO PERIODO DE 08/08/23 A 08/08/23                      08/08/23   10:47   0001
-----GRUPO TRIUNFANTE-----------------------------------------------------------------------------------------------------------------------------------Usuario: anapb---------
Ranking *---------------Cliente----------------* Cidade          Endereco            Peso Bruto      Caixas          Valor    %PB    %Cx   %Vlr   %ACP   %ACG  Repr Pr.Medio Censo

 Fornec: GERAL                Repres: GERAL                 Linha: GERAL                 Censo: GERAL

      1   9531413001300 OLIVEIRA E CARNEIRO LTDA CAMPO GRANDE    AV SAO NICOLAU             276      40,144       8.782,46  35,21  27,76  26,80  26,80  26,80   203     4,39  A35
      2  46154534000254 MERCADO PRIMOS LTDA      JARAGUARI       RUA GERALDO FERREIRA       101      18,999       5.242,19  12,95  13,14  16,00  42,81  42,81    23     2,40  A15
      3  39575110000117 BUY AT HOME COM VAREJ DE CAMPO GRANDE    AV CONSUL ASSAF TRAD       107      33,005       4.119,34  13,73  22,82  12,57  55,38  55,38   155     6,55  456
      4  42269743000101 PABLO BORGES DRUMOND LTD CAMPO GRANDE    AVENIDA TRES BARRAS         17       3,008       1.116,67   2,21   2,08   3,40  58,79  58,79   459     1,65  A07
      5  22111263000100 D F D COMERCIO DE ALIMEN CAMPO GRANDE    RUA LAGOA RICA              21       2,566         959,75   2,73   1,77   2,92  61,72  61,72   459     8,13  A15
      6  30994948000170 LAURO FERNANDO FAVARETTO CAMPO GRANDE    RUA FATIMA DO SUL           12       1,000         942,35   1,61   0,69   2,87  64,60  64,60   151    78,52  A22
      7  12373754000176 QUALITY PHARMA EIRELI    CAMPO GRANDE    RUA MARECHAL RONDON         15       2,449         812,14   1,98   1,69   2,47  67,08  67,08   455     3,88  A08
      8  18536820000168 DEJAILTON GALDINO DOS SA CAMPO GRANDE    RUA KALINA DANCHE DE        18       2,749         717,16   2,39   1,90   2,18  69,27  69,27   453     4,14  A14
      9  34574094000124 MDHF COM VAREJ DE PROD A CAMPO GRANDE    RUA MARECHAL RONDON         11       1,666         646,58   1,49   1,15   1,97  71,24  71,24   401    12,93  A02
     10  46163330000107 JURANDIR SARAIVA         CAMPO GRANDE    RUA DOS SERVIDORES P        14       2,587         616,47   1,81   1,78   1,88  73,12  73,12   153     6,10  A15
     11  40299810021293 AM PM COMESTIVEIS LTDA   CAMPO GRANDE    MANOEL DE OLIVEIRA G         6       1,252         601,88   0,77   0,86   1,83  74,96  74,96   459     4,29  456
     12  31327173000142 EMPORIO CARANDA PROD ALI CAMPO GRANDE    AVENIDA ANTONIO TEOD        17       3,804         595,11   2,21   2,63   1,81  76,77  76,77   155     8,50  K09
     13  33202736000100 MOURA E ASSIS LTDA       CAMPO GRANDE    AV 9                         5       4,041         560,54   0,75   2,79   1,71  78,49  78,49   151    13,34  A08
     14  20171728000193 DANILO BRAGA GONCALVES   CAMPO GRANDE    MANOEL DE OLIVEIRA G         8       1,500         556,01   1,12   1,03   1,69  80,18  80,18   459     5,45  456
     15   1142123000120 ACOUGUE E MERCEARIA LOPE CAMPO GRANDE    RUA MARECHAL RONDON          9       1,665         548,28   1,23   1,15   1,67  81,86  81,86   457     4,15  A02
     16   8717115000103 J L L  LANCHES E REFEICO CAMPO GRANDE    REDENTOR                     7       1,249         469,24   1,00   0,86   1,43  83,29  83,29   459     5,10  A16
     17  70357496000211 DALLE GRAVE E MARIOTTI L CAMPO GRANDE    QUATORZE DE JULHO            5       1,223         464,04   0,65   0,84   1,41  84,71  84,71   120    13,64  K15
     18  26764311000110 KF CORREA ME             CAMPO GRANDE    RUA ANTONIO MARIA CO         9       1,331         419,94   1,22   0,92   1,28  85,99  85,99   457     4,56  456
     19   3720433000100 MERCADO CONQUISTA LTDA   CAMPO GRANDE    ABILIO SOARES               14       1,756         388,46   1,87   1,21   1,18  87,17  87,17   153     2,67  A14
     20  37795529000159 L. EVANGELISTA RODI ACOU CAMPO GRANDE    RUA FILOMENA SEGUNDO         4       0,671         356,77   0,51   0,46   1,08  88,26  88,26   459     1,83  1
     21   5099789000101 MERLEI APARECIDA BUENO D CAMPO GRANDE    RUA MANOEL JOAQUIM D        11       1,935         304,64   1,41   1,33   0,92  89,19  89,19   451     1,30  A14
