 M 
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
TRIUNFANTE MATOGROSSENSE ALIMENTOS LTDA                                                                                                    12 Faturamento          Ref:em11302
Filial: CAMPO GRANDE                                                                                                                                    Emissao    Hora   Folha
                                          CURVA ABC DE CLIENTES SOBRE VENDAS REFERENTE A VALORES NO PERIODO DE 08/11/23 A 08/11/23                      08/11/23   10:44   0001
-----GRUPO TRIUNFANTE-----------------------------------------------------------------------------------------------------------------------------------Usuario: willian-------
Ranking *---------------Cliente----------------* Cidade          Endereco            Peso Bruto      Caixas          Valor    %PB    %Cx   %Vlr   %ACP   %ACG  Repr Pr.Medio Censo

 Fornec: GERAL                Repres: GERAL                 Linha: GERAL                 Censo: GERAL

      1   3029716000290 HORTIFRUTI SANTA RITA LT CAMPO GRANDE    JOSE ANTONIO               142      26,345       6.559,75  20,24  21,23  23,14  23,14  23,14   401     2,28  A15
      2   3029716000100 HORTIFRUTI SANTA RITA LT CAMPO GRANDE    GUAICURUS                  134      27,060       6.141,09  19,22  21,81  21,66  44,81  44,81   401     1,74  A15
      3  11352253000140 SANTOS E LOUVEIRO LTDA M CAMPO GRANDE    RUA ANTONIO DE MORAI        52       7,167       2.571,63   7,46   5,77   9,07  53,88  53,88   457     2,01  A02
      4   7982725000171 SUPERMERCADO ATHENAS LTD CAMPO GRANDE    FATIMA DO SUL               41       6,000       1.302,65   5,87   4,83   4,59  58,48  58,48   151     4,34  A15
      5   3146561000191 PANIFICADORA COOPHASUL L CAMPO GRANDE    RUA MARIO DA COSTA F        25       3,499       1.197,90   3,61   2,82   4,22  62,70  62,70   457     6,11  A07
      6   8035675000188 EDLEIA ALONSO DE SOUZA   CAMPO GRANDE    RUA EVELINA SELINGAR        17       4,589         823,12   2,45   3,69   2,90  65,61  65,61   453     1,06  A15
      7  46404549000142 GUTIERREZ EMILIO PRODUTO CAMPO GRANDE    GUALTER BARBOSA             22       4,763         776,63   3,14   3,83   2,74  68,35  68,35   457     1,11  A03
      8  28804848000192 THIAGO CUPERTINO DE SOUZ CAMPO GRANDE    AV MANOEL JOAQUIM DE        16       2,799         772,71   2,31   2,25   2,72  71,07  71,07   451     3,28  K10
      9  19408387000148 ANTONIO GUALBERTO DA SIL CAMPO GRANDE    ADELAIDE MAIA FIGUEI        17       2,644         662,08   2,51   2,13   2,33  73,41  73,41   453     3,71  456
     10  12476120000149 SOUZA E BERTEMES LTDA    CAMPO GRANDE    KAMA NAKAZATO               16       2,001         534,22   2,41   1,61   1,88  75,29  75,29   153     5,39  A15
     11  27185417000122 NASSIF MIGUEL HADDAD EIR CAMPO GRANDE    AV. JULIO DE CASTILH        16       2,486         506,11   2,31   2,00   1,78  77,08  77,08   457     1,67  A14
