 M 
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
MILENIO COMERCIO DE ALIMENTO LTDA                                                                                                          12 Faturamento   Ref:em11302
Filial: CAMPO GRANDE                                                                                                                                    Emissao    Hora   Folha
                                          CURVA ABC DE CLIENTES SOBRE VENDAS REFERENTE A VALORES NO PERIODO DE 11/01/23 A 11/01/23                      11/01/23   11:59   0001
-----MILENIO--------------------------------------------------------------------------------------------------------------------------------------------Usuario: luiz----------
Ranking *---------------Cliente----------------* Cidade          Endereco            Peso Bruto      Caixas          Valor    %PB    %Cx   %Vlr   %ACP   %ACG  Repr Pr.Medio Censo

 Fornec: GERAL                Repres: GERAL                 Linha: GERAL                 Censo: GERAL

      1  33483565000126 GIANT PET SHOP EIRELI    CAMPO GRANDE    VINTE E CINCO DE DEZ       125      18,000       2.700,04  11,24   9,51  13,27  13,27  13,27   601     5,62  H23
      2  10602507000179 COMERCIO DE ALIMENTOS AN CAMPO GRANDE    CALOGERAS                   64       9,000       1.908,37   5,78   4,75   9,38  22,65  22,65   755     4,41  A36
      3  32212285000110 ANGELA MENDES DE SOUZA E CAMPO GRANDE    RUA BRAZ CLEMENTINO        142      20,198       1.868,59  12,77  10,67   9,18  31,84  31,84   755     2,99  A02
      4  73395204000142 CLINICA VET CENTRO OESTE CAMPO GRANDE    DO BOTICARIO               144      11,000       1.649,87  12,99   5,81   8,11  39,95  39,95   602    20,62  T56
      5  10602507000330 COMERCIO DE ALIMENTOS AN CAMPO GRANDE    CALOGERAS                   47       6,000       1.356,47   4,28   3,17   6,66  46,62  46,62   755     4,29  A15
      6  21008783000120 V BIEZON EIRELI - ME     CAMPO GRANDE    ACAIA                       47      15,039       1.184,63   4,31   7,94   5,82  52,45  52,45   751     7,05  A15
      7  46800426000120 OI TOTO PET SHOP LTDA    CAMPO GRANDE    AVENIDA JULIO DE CAS        56      14,866       1.179,19   5,04   7,85   5,79  58,24  58,24   601     2,71  H24
      8   7982725000171 SUPERMERCADO ATHENAS LTD CAMPO GRANDE    FATIMA DO SUL               35      15,000         707,45   3,15   7,92   3,47  61,72  61,72   751     7,86  A15
      9  29101810000116 R L SUPERMERCADOS EIRELI CAMPO GRANDE    RUA ZULMIRA BORBA           27       3,050         615,06   2,51   1,61   3,02  64,75  64,75   157    11,39  A35
     10  47397704000103 MOREIRA E LUNARDI COMERC CAMPO GRANDE    RUA HUGO PEREIRA DO         27       3,050         612,55   2,51   1,61   3,01  67,76  67,76   157    11,34  A41
     11  31957610000101 ACOUGUE E MERCEARIA COM  CAMPO GRANDE    DO PANDA                    31       4,962         548,64   2,87   2,62   2,69  70,46  70,46   757     5,59  A02
     12    580302000186 COMERCIO DE BEBIDAS LAUR CAMPO GRANDE    QUINHEIRA                   61       9,206         512,18   5,54   4,86   2,51  72,97  72,97   759     2,84  A60
     13  30344602000127 MARIA NILVA GIMENES GUTI CAMPO GRANDE    TATUPEBA                    25       3,246         506,62   2,25   1,71   2,49  75,46  75,46   751     3,67  A43
     14   8066034000190 NEVES PINHEIRO E CIA LTD CAMPO GRANDE    BRILHANTE                   21       2,786         500,00   1,95   1,47   2,45  77,92  77,92   753     3,26  A41
     15  27642580000177 MARIA OTILIA DA MOTA ME  CAMPO GRANDE    ACROPOLE                    45       6,032         480,56   4,09   3,18   2,36  80,29  80,29   757     2,65  A02
     16  13108746000165 DAVI SANTEIRO DA SILVA   CAMPO GRANDE    AVENIDA MONTE CASTEL        22       6,000         438,88   2,01   3,17   2,15  82,44  82,44   159     1,82  H24
     17  28638434000211 HF COMERCIO DE ALIMENTOS CAMPO GRANDE    OREADE                      13       3,406         393,58   1,21   1,79   1,93  84,38  84,38   755     6,05  A41
     18  11225384000167 ANDRE LIMA DE OLIVEIRA   CAMPO GRANDE    RUA DA DIVISAO              17       2,879         388,89   1,59   1,52   1,91  86,29  86,29   153     4,22  A60
     19  21203033000109 E DA SILVA CASA DE CARNE CAMPO GRANDE    RUA CLARK                   18       3,833         368,93   1,69   2,02   1,81  88,10  88,10   757     3,41  A41
     20  24864657000165 RONY CARLOS DE MELLO ME  CAMPO GRANDE    DOUTOR MEIRELES             16       4,136         367,50   1,48   2,18   1,80  89,91  89,91   159     2,21  H23
     21  11542908000143 CLARINDO SILVA           CAMPO GRANDE    RUA DEMETRIO AMARAL         19       4,518         296,84   1,70   2,38   1,45  91,37  91,37   602     3,49  H23
     22  32201482000134 PAULO LEANDRO NILO LUBAS CAMPO GRANDE    AV VEREADOR THYRSON         22       2,000         282,97   1,99   1,05   1,39  92,76  92,76   601   141,48  H24
     23  31127656000101 ROSANGELA MENDES         CAMPO GRANDE    RUA PRIMAVERA DO LES        11       2,895         257,77   1,05   1,52   1,26  94,03  94,03   759     3,68  A02
     24  28638434000130 HF COMERCIO DE ALIMENTOS CAMPO GRANDE    RUA ENGENHEIRO PAULO        16       7,000         250,25   1,46   3,69   1,23  95,26  95,26   755     5,95  A02
     25  35470354000184 RODRIGUES SANTANA E SAND CAMPO GRANDE    AURORA                      12       2,750         225,11   1,16   1,45   1,10  96,37  96,37   759     3,41  A02
     26  12940791000119 NUNES E NASCIMENTO LTDA  CAMPO GRANDE    MASCARENHAS DE MORAE        14       1,668         218,53   1,26   0,88   1,07  97,44  97,44   159     9,93  A60
     27  42224805000169 TOP VET LTDA             CAMPO GRANDE    TREZE DE MAIO                7       2,663         214,50   0,70   1,40   1,05  98,50  98,50   601     2,93  H24
     28  45365457000138 LIDIANE APARECIDA DA SIL CAMPO GRANDE    RUA MANOEL JOSE LOPE         9       2,789         127,56   0,86   1,47   0,62  99,12  99,12   759     5,54  A60
     29  17522652000199 RODRIGUES E LOPES MERCDO CAMPO GRANDE    CONGONHAS                    3       1,004          89,24   0,33   0,53   0,43  99,56  99,56   151     2,23  A41
     30  35955725000118 J C BZERRA               CAMPO GRANDE    RUA ABAETE                   0       0,250          88,18   0,06   0,13   0,43 100,00 100,00   751    88,18  A02

                                                              Total destes clientes:      1.111     189,226      20.338,95 100,00 100,00 100,00 100,00 100,00

                                                                        Total geral:      1.111     189,226      20.338,95 100,00 100,00 100,00 100,00 100,00
