 M 
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
TRIUNFANTE MATOGROSSENSE ALIMENTOS LTDA                                                                                                    12 Faturamento          Ref:em11302
Filial: CAMPO GRANDE                                                                                                                                    Emissao    Hora   Folha
                                          CURVA ABC DE CLIENTES SOBRE VENDAS REFERENTE A VALORES NO PERIODO DE 12/09/23 A 12/09/23                      12/09/23   11:33   0001
-----GRUPO TRIUNFANTE-----------------------------------------------------------------------------------------------------------------------------------Usuario: willian-------
Ranking *---------------Cliente----------------* Cidade          Endereco            Peso Bruto      Caixas          Valor    %PB    %Cx   %Vlr   %ACP   %ACG  Repr Pr.Medio Censo

 Fornec: GERAL                Repres: GERAL                 Linha: GERAL                 Censo: GERAL

      1  14870472000100 VASCONSELOS SANTOS E CIA CAMPO GRANDE    PRESIDENTE DELFIM MO        89      29,140       4.313,42  23,29  37,60  24,85  24,85  24,85    23     6,09  A35
      2  27697083000257 MIX COSMETICOS LTDA      CAMPO GRANDE    RUA QUATORZE DE JULH        12       5,459       1.785,88   3,24   7,04  10,29  35,14  35,14   120    17,00  K15
      3  10235154000388 GT COMERCIAL DE ALIMENTO CAMPO GRANDE    MARQUES DE POMBAL           87      10,651       1.641,02  22,86  13,74   9,45  44,60  44,60   153     9,94  A15
      4  27697083000338 MIX COSMETICOS LTDA      CAMPO GRANDE    DOM AQUINO                   5       3,840       1.259,40   1,40   4,95   7,25  51,86  51,86   120    16,14  K15
      5  28638434000130 HF COMERCIO DE ALIMENTOS CAMPO GRANDE    RUA ENGENHEIRO PAULO        17       3,250       1.057,88   4,47   4,19   6,09  57,95  57,95   453     4,78  A14
      6   9326928000135 GONCALVES E GONCALVES SU CAMPO GRANDE    MANOEL OLIVEIRA GOME        29       2,500         687,68   7,79   3,22   3,96  61,92  61,92   401     9,16  A35
      7  28804848000192 THIAGO CUPERTINO DE SOUZ CAMPO GRANDE    AV MANOEL JOAQUIM DE        15       2,692         637,11   3,96   3,47   3,67  65,59  65,59   451     2,93  K10
      8  14960841000155 BRENO BLANCH BERGOLI     CAMPO GRANDE    SPIPE CALARGE               11       1,774         554,36   2,98   2,28   3,19  68,78  68,78   459     2,37  456
      9  12417592000201 REBELO COMERCIO DE PROD. CAMPO GRANDE    AV RITA VIEIRA DE AN         7       1,506         544,50   1,96   1,94   3,13  71,92  71,92   459     6,18  A07
     10  37756088000186 SIMONE HENNES ARAUJO     CAMPO GRANDE    RUA DONA HENRIQUETA          3       0,830         508,10   0,95   1,07   2,92  74,85  74,85   455     4,23  A03
     11   1093855000177 DON PAULIGI PIZZARIA E B CAMPO GRANDE    RUA ARTHUR JORGE 933         7       2,000         327,68   1,92   2,58   1,88  76,74  76,74   155     6,82  A06
     12  23894307000189 ILARI ILARIE COM E SERV  CAMPO GRANDE    AVENIDA NOROESTE             5       0,646         327,06   1,40   0,83   1,88  78,62  78,62   455     1,73  K10
     13  28638434000211 HF COMERCIO DE ALIMENTOS CAMPO GRANDE    RUA OREADE                   5       1,000         325,52   1,37   1,29   1,87  80,50  80,50   453     4,78  A02
     14  34327085000139 LEONARDO COSTA LEITE S B CAMPO GRANDE    RUA SPIPE CALARGE            9       1,539         317,61   2,43   1,98   1,83  82,33  82,33   459     1,98  456
     15  21172867000102 NORBERTO VIEIRA QUINTILI CAMPO GRANDE    TAIOBA                       4       0,791         291,47   1,09   1,02   1,67  84,01  84,01   455     4,48  A14
     16  29101810000116 R L SUPERMERCADOS EIRELI CAMPO GRANDE    ZULMIRA BORBA                5       0,976         257,32   1,55   1,25   1,48  85,49  85,49   455     1,60  A35
     17  40738446000132 ALVES E CORREA CONVENIEN CAMPO GRANDE    RUA ARLINDO ANTONIO          4       0,600         239,56   1,29   0,77   1,38  86,87  86,87   457     7,98  456
