 M 
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
TRIUNFANTE MATOGROSSENSE ALIMENTOS LTDA                                                                                                    12 Faturamento          Ref:em11302
Filial: CAMPO GRANDE                                                                                                                                    Emissao    Hora   Folha
                                          CURVA ABC DE CLIENTES SOBRE VENDAS REFERENTE A VALORES NO PERIODO DE 14/11/23 A 14/11/23                      14/11/23   11:21   0001
-----GRUPO TRIUNFANTE-----------------------------------------------------------------------------------------------------------------------------------Usuario: willian-------
Ranking *---------------Cliente----------------* Cidade          Endereco            Peso Bruto      Caixas          Valor    %PB    %Cx   %Vlr   %ACP   %ACG  Repr Pr.Medio Censo

 Fornec: GERAL                Repres: GERAL                 Linha: GERAL                 Censo: GERAL

      1  52321317000123 NOGUEIRA SUPERMERCADO LT CAMPO GRANDE    CAMPO NOBRE                 30       7,051       1.111,17  10,24  12,04   9,49   9,49   9,49   453     1,03  A15
      2  26764311000110 KF CORREA ME             CAMPO GRANDE    RUA ANTONIO MARIA CO        22       4,494       1.103,13   7,69   7,67   9,42  18,92  18,92   457     2,51  456
      3   7669269000104 FELLER COMERCIO DE ALIME CAMPO GRANDE    PONTALINA                   15       1,705         665,33   5,31   2,91   5,68  24,61  24,61   459     6,16  A15
      4   3029716000100 HORTIFRUTI SANTA RITA LT CAMPO GRANDE    GUAICURUS                   14       3,494         646,92   4,76   5,97   5,52  30,14  30,14   401     1,12  A15
      5  46163330000107 JURANDIR SARAIVA         CAMPO GRANDE    RUA DOS SERVIDORES P        16       3,064         601,92   5,58   5,23   5,14  35,28  35,28   153     2,90  A15
      6   8717115000103 J L L  LANCHES E REFEICO CAMPO GRANDE    REDENTOR                    13       2,176         592,54   4,52   3,71   5,06  40,35  40,35   459     2,97  A16
      7  16582331000117 DUENHA COMERCIO ALIMENTO CAMPO GRANDE    EVELINA FIGUEIREDO S        12       3,493         560,70   4,22   5,96   4,79  45,14  45,14   453     0,89  A02
      8   3029716000290 HORTIFRUTI SANTA RITA LT CAMPO GRANDE    JOSE ANTONIO                 8       2,246         403,55   2,86   3,83   3,44  48,59  48,59   401     1,07  A15
      9   1914374000185 CARMO E SALES LTDA       CAMPO GRANDE    MARECHAL RONDON              7       0,907         363,51   2,63   1,54   3,10  51,70  51,70   459     8,65  A14
     10  33202736000100 MOURA E ASSIS LTDA       CAMPO GRANDE    AV 9                         5       0,500         360,12   1,79   0,85   3,07  54,78  54,78   151    60,02  A08
     11   3675544000141 ASSIS PASSOS E CIA LTDA  CAMPO GRANDE    RIO GRANDE DO SUL           13       3,165         351,19   4,56   5,40   3,00  57,78  57,78   155     9,24  A35
     12  40299810021293 AM PM COMESTIVEIS LTDA   CAMPO GRANDE    MANOEL DE OLIVEIRA G         7       1,067         344,64   2,50   1,82   2,94  60,72  60,72   459     4,65  456
     13  11058284000193 JRR DROGARIA LTDA        CAMPO GRANDE    MARECHAL DEODORO             4       0,499         343,02   1,49   0,85   2,93  63,66  63,66   151    57,17  A08
     14   1093855000177 DON PAULIGI PIZZARIA E B CAMPO GRANDE    RUA ARTHUR JORGE 933         7       2,000         322,46   2,50   3,41   2,75  66,41  66,41   155     6,71  A06
     15   1142123000120 ACOUGUE E MERCEARIA LOPE CAMPO GRANDE    RUA MARECHAL RONDON          5       1,076         298,59   1,94   1,83   2,55  68,96  68,96   457     5,14  A02
     16  18536820000168 DEJAILTON GALDINO DOS SA CAMPO GRANDE    RUA KALINA DANCHE DE         6       1,990         288,95   2,32   3,40   2,46  71,43  71,43   453     0,81  A14
     17  40245212000153 FRANCIELE MOURA DA SILVA CAMPO GRANDE    RUA SAO FELIX                8       1,204         267,98   2,80   2,05   2,29  73,72  73,72   120     4,46  A41
     18  44247985000120 FILEMON MEDINA DA SILVA  CAMPO GRANDE    RUA CLEMENTE PEREIRA         7       1,254         253,05   2,58   2,14   2,16  75,89  75,89   457     2,30  A14
     19  30286597000143 WALDEIR RODRIGUES PIRES  CAMPO GRANDE    RUA MANOEL TAVEIRA           6       1,118         229,15   2,32   1,91   1,95  77,85  77,85   457     2,86  456
     20  27541412000195 JUSCILENE Y K DA SILVA E CAMPO GRANDE    AV MANOEL DA COSTA L         9       1,389         225,19   3,22   2,37   1,92  79,77  79,77   453     2,08  A50
     21  22111263000100 D F D COMERCIO DE ALIMEN CAMPO GRANDE    RUA LAGOA RICA               7       1,546         221,20   2,61   2,64   1,89  81,66  81,66   459     1,08  A15
