 M 
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
TRIUNFANTE MATOGROSSENSE ALIMENTOS LTDA                                                                                                    12 Faturamento   Ref:em11302
Filial: CAMPO GRANDE                                                                                                                                    Emissao    Hora   Folha
                                          CURVA ABC DE CLIENTES SOBRE VENDAS REFERENTE A VALORES NO PERIODO DE 18/07/23 A 18/07/23                      18/07/23   10:52   0001
-----GRUPO TRIUNFANTE-----------------------------------------------------------------------------------------------------------------------------------Usuario: anapb---------
Ranking *---------------Cliente----------------* Cidade          Endereco            Peso Bruto      Caixas          Valor    %PB    %Cx   %Vlr   %ACP   %ACG  Repr Pr.Medio Censo

 Fornec: GERAL                Repres: GERAL                 Linha: GERAL                 Censo: GERAL

      1  12509749000148 AZPT MEDICAMENTOS PERFUM CAMPO GRANDE    MASCARENHAS DE MORAE        81      14,838       2.357,53  21,53  19,65  14,21  14,21  14,21   801    26,48  A08
      2  16755135000105 SANDIM E RODRIGUES LTDA  CAMPO GRANDE    SANTA MONICA                36       6,088       2.012,02   9,76   8,06  12,13  26,35  26,35   457     3,12  456
      3   4636085000150 MOACIR DALL AGNOL        CAMPO GRANDE    BARUERI                     15       5,479       1.899,43   4,08   7,25  11,45  37,80  37,80   801    19,78  A40
      4   6020521000197 COMERCIAL DE ALIMENTOS M CAMPO GRANDE    SPIPE CALARGE               21       4,987       1.254,11   5,73   6,60   7,56  45,37  45,37   459     1,85  A14
      5  23894307000189 ILARI ILARIE COM E SERV  CAMPO GRANDE    AVENIDA NOROESTE            16       2,206         848,03   4,33   2,92   5,11  50,48  50,48   455     2,12  K10
      6  45784110000120 COMERCIO DE ALIMENTOS DA CAMPO GRANDE    RUA BRIGADEIRO MACHA         9       1,976         575,66   2,61   2,61   3,47  53,95  53,95   451     3,64  A14
      7  28804848000192 THIAGO CUPERTINO DE SOUZ CAMPO GRANDE    AV MANOEL JOAQUIM DE        10       1,794         573,75   2,73   2,37   3,46  57,41  57,41   451     3,45  K10
      8   8370598000201 SANTO ANTONIO DIST DE AL CAMPO GRANDE    JULIO DE CASTILHO           17       3,400         542,87   4,64   4,50   3,27  60,69  60,69    23     6,03  A35
      9  10602507000330 COMERCIO DE ALIMENTOS AN CAMPO GRANDE    CALOGERAS                   11       6,000         536,61   3,15   7,94   3,23  63,92  63,92   455     8,94  A35
     10   8370598000112 SANTO ANTONIO DIST DE AL CAMPO GRANDE    ALBERT SABIN                12       4,000         488,37   3,37   5,29   2,94  66,87  66,87    23     5,95  A35
     11  22556115000108 MERCADO ALTONIA LTDA     CAMPO GRANDE    ELVIRA PACHECO SAMPA        18       2,619         481,94   4,90   3,46   2,90  69,78  69,78   459     3,08  A14
     12  37756088000186 SIMONE HENNES ARAUJO     CAMPO GRANDE    RUA DONA HENRIQUETA          3       0,830         479,35   0,96   1,09   2,89  72,67  72,67   455     3,99  A03
     13  38828793000104 ORION COMERCIO DE ALIMEN CAMPO GRANDE    RUA JORNALISTA VALDI        10       1,649         413,06   2,84   2,18   2,49  75,16  75,16   453     3,10  456
