 M 
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
TRIUNFANTE MATOGROSSENSE ALIMENTOS LTDA                                                                                                    12 Faturamento          Ref:em11302
Filial: CAMPO GRANDE                                                                                                                                    Emissao    Hora   Folha
                                          CURVA ABC DE CLIENTES SOBRE VENDAS REFERENTE A VALORES NO PERIODO DE 22/08/23 A 22/08/23                      22/08/23   11:11   0001
-----GRUPO TRIUNFANTE-----------------------------------------------------------------------------------------------------------------------------------Usuario: anapb---------
Ranking *---------------Cliente----------------* Cidade          Endereco            Peso Bruto      Caixas          Valor    %PB    %Cx   %Vlr   %ACP   %ACG  Repr Pr.Medio Censo

 Fornec: GERAL                Repres: GERAL                 Linha: GERAL                 Censo: GERAL

      1  39575110000117 BUY AT HOME COM VAREJ DE CAMPO GRANDE    AV CONSUL ASSAF TRAD       109      17,498       5.481,84  21,76  19,52  24,47  24,47  24,47   401     4,27  456
      2   3029716000290 HORTIFRUTI SANTA RITA LT CAMPO GRANDE    JOSE ANTONIO                23       6,000       2.735,85   4,71   6,69  12,21  36,69  36,69   153    18,99  A15
      3  16582331000117 DUENHA COMERCIO ALIMENTO CAMPO GRANDE    EVELINA FIGUEIREDO S        44       9,613       1.690,62   8,82  10,72   7,54  44,23  44,23   453     1,13  A02
      4  48609947000120 NSF MINIMERCADO LTDA     CAMPO GRANDE    RUA JOSE ANTONIO            30       9,836       1.399,88   6,10  10,97   6,25  50,48  50,48   155     6,86  A14
      5  40343479000264 ARAPONGAS SUPERMERCADO E CAMPO GRANDE    RUA ABRAO JULIO RAHE        24       4,628       1.200,34   4,91   5,16   5,35  55,84  55,84   401     5,94  A15
      6   3675544000141 ASSIS PASSOS E CIA LTDA  CAMPO GRANDE    RIO GRANDE DO SUL           38       7,546       1.040,66   7,73   8,42   4,64  60,49  60,49   155     6,58  A35
      7  26850008000130 MENCHIK E SHIRADO LTDA   CAMPO GRANDE    RUA JOSE NOGUEIRA VI        32       4,000         794,54   6,42   4,46   3,54  64,04  64,04   153     9,45  A02
      8  30800527000161 MARACAJU COM DE ALIM DOC CAMPO GRANDE    MARACAJU                     7       1,583         558,60   1,58   1,76   2,49  66,53  66,53   455     3,85  K07
      9   1914374000185 CARMO E SALES LTDA       CAMPO GRANDE    MARECHAL RONDON             14       2,073         545,67   2,91   2,31   2,43  68,97  68,97   459     4,01  A14
     10  46163330000107 JURANDIR SARAIVA         CAMPO GRANDE    RUA DOS SERVIDORES P        15       1,833         469,04   3,05   2,04   2,09  71,06  71,06   153     8,37  A15
     11  40299810021293 AM PM COMESTIVEIS LTDA   CAMPO GRANDE    MANOEL DE OLIVEIRA G         6       1,295         440,60   1,31   1,44   1,96  73,03  73,03   459     3,58  456
