 M 
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
TRIUNFANTE MATOGROSSENSE ALIMENTOS LTDA                                                                                                    12 Faturamento   Ref:em11302
Filial: CAMPO GRANDE                                                                                                                                    Emissao    Hora   Folha
                                          CURVA ABC DE CLIENTES SOBRE VENDAS REFERENTE A VALORES NO PERIODO DE 28/12/22 A 28/12/22                      28/12/22   11:33   0001
-----GRUPO TRIUNFANTE-----------------------------------------------------------------------------------------------------------------------------------Usuario: luiz----------
Ranking *---------------Cliente----------------* Cidade          Endereco            Peso Bruto      Caixas          Valor    %PB    %Cx   %Vlr   %ACP   %ACG  Repr Pr.Medio Censo

 Fornec: GERAL                Repres: GERAL                 Linha: GERAL                 Censo: GERAL

      1  12887219000133 NOVA ESTRELA COMERCIO DE TRES LAGOAS     CLODOALDO GARCIA         1.656     175,000      41.963,89  41,12  35,48  28,46  28,46  28,46   211    20,57  A36
      2  12075667000728 S PIRES COMERCIO DE ALIM CAMPO GRANDE    MARQUES DE POMBAL          202      25,649       9.168,28   5,03   5,20   6,21  34,68  34,68   402     5,26  A36
      3  12075667000302 S PIRES COMERCIO DE ALIM CAMPO GRANDE    RACHEL DE QUEIROZ          181      22,678       7.415,87   4,51   4,59   5,03  39,71  39,71   402     4,64  A36
      4   7719683000423 PIRES E CIA LTDA         CAMPO GRANDE    WALDEMAR WRITH             159      21,179       6.783,55   3,97   4,29   4,60  44,31  44,31   402     3,93  A36
      5  12075667000485 S PIRES COMERCIO DE ALIM CAMPO GRANDE    ACAIA                      137      18,486       6.099,19   3,40   3,74   4,13  48,45  48,45   402     4,67  A35
      6   7719683000342 PIRES E CIA LTDA         CAMPO GRANDE    GOIATUBA                   127      16,958       5.871,03   3,16   3,43   3,98  52,43  52,43   402     4,59  A35
      7  12075667001376 S PIRES COMERCIO DE ALIM CAMPO GRANDE    RUA FATIMA DO SUL          122      17,142       5.606,28   3,05   3,47   3,80  56,24  56,24   402     4,68  A35
      8  10513998000181 BONANCA COM DE ALIMENTOS CAMPO GRANDE    TUPINIQUINS                119      16,321       5.368,84   2,96   3,30   3,64  59,88  59,88   402     4,57  A35
      9  12075667001295 S PIRES COMERCIO DE ALIM CAMPO GRANDE    AV CAPIBARIBE              112      14,945       5.262,18   2,80   3,03   3,56  63,45  63,45   402     4,68  A35
     10  12075667000213 S PIRES COMERCIO DE ALIM CAMPO GRANDE    ANCHIETA                   105      14,200       4.816,80   2,63   2,87   3,26  66,72  66,72   402     3,74  A35
     11   7719683000180 PIRES E CIA LTDA         CAMPO GRANDE    ANA LUIZA DE SOUZA         110      14,920       4.726,67   2,73   3,02   3,20  69,92  69,92   402     3,66  A35
     12  12075667000809 S PIRES COMERCIO DE ALIM CAMPO GRANDE    AV JULIO DE CASTILHO        91      11,657       4.404,92   2,27   2,36   2,98  72,91  72,91   402     3,95  A35
     13  10513998000424 BONANCA COMERCIO DE ALIM CAMPO GRANDE    DOS CAFEZAIS                96      12,897       4.278,52   2,40   2,61   2,90  75,81  75,81   402     4,52  A35
     14  12075667000990 S PIRES COMERCIO DE ALIM CAMPO GRANDE    RAUL PIRES BARBOSA          95      12,125       4.193,25   2,37   2,45   2,84  78,66  78,66   402     5,09  A35
     15  12075667000647 S PIRES COMERCIO DE ALIM CAMPO GRANDE    OURO VERDE                  76      10,243       3.769,72   1,89   2,07   2,55  81,21  81,21   402     3,42  A35
     16  10513998000696 BONANCA COMERCIO DE ALIM CAMPO GRANDE    JERONIMO DE ALBUQUER        89      11,314       3.685,94   2,21   2,29   2,50  83,71  83,71   402     4,10  A36
     17  12075667001023 S PIRES COMERCIO DE ALIM CAMPO GRANDE    BOM PASTOR                  81       9,411       3.337,14   2,02   1,90   2,26  85,98  85,98   402     5,68  A35
     18  12075667000566 S PIRES COMERCIO DE ALIM CAMPO GRANDE    BARUERI                     74      10,752       3.309,56   1,85   2,18   2,24  88,22  88,22   402     3,48  A36
     19  12075667000132 S PIRES COMERCIO DE ALIM CAMPO GRANDE    RACHEL DE QUEIROZ           78       9,827       3.270,96   1,93   1,99   2,21  90,44  90,44   402     5,20  A36
     20   7719683000261 PIRES E CIA LTDA         CAMPO GRANDE    SOUZA LIMA                  59       8,567       2.909,15   1,48   1,73   1,97  92,42  92,42   402     2,94  A35
     21  12075667001457 S PIRES COMERCIO DE ALIM CAMPO GRANDE    RUA MARIA LUIZA MORA        61       8,756       2.886,85   1,52   1,77   1,95  94,37  94,37   402     2,97  A35
     22  10513998001315 BONANCA COMERCIO DE ALIM CAMPO GRANDE    AV DOS CAFEZAIS             47       8,042       2.705,26   1,19   1,63   1,83  96,21  96,21   402     4,39  A35
     23  10513998000505 BONANCA COMERCIO DE ALIM CAMPO GRANDE    TAMANDARE                   59       8,455       2.589,25   1,48   1,71   1,75  97,97  97,97   402     2,44  A35
     24  24843326000149 BJL COMERCIO DE FRUTAS E CAMPO GRANDE    GUALTER BARBOSA             19       3,951         675,32   0,48   0,80   0,45  98,42  98,42   455     1,19  A15
     25  12373754000176 QUALITY PHARMA EIRELI    CAMPO GRANDE    RUA MARECHAL RONDON         15       2,392         640,01   0,37   0,48   0,43  98,86  98,86   455     2,19  A08
     26  10631874000109 DIAS E GUNDIM LTDA       CAMPO GRANDE    JULIA MAKSOUD               12       2,057         392,11   0,31   0,41   0,26  99,12  99,12   157     5,60  456
     27  23651812000100 COMERCIO DE ALIMENTOS LG CAMPO GRANDE    MONTE CASTELO                4       1,083         390,25   0,11   0,21   0,26  99,39  99,39   455     8,67  A15
     28   3675544000141 ASSIS PASSOS E CIA LTDA  CAMPO GRANDE    RIO GRANDE DO SUL            5       0,914         320,06   0,12   0,18   0,21  99,61  99,61   455     2,17  A35
     29   3815374000153 SUPERMERCADO DOURADAO CO CAMPO GRANDE    MARQUES DE LEAO             10       1,875         259,69   0,26   0,38   0,17  99,78  99,78   157     3,09  A15
     30    787231000197 GOLD COMERCIO DE BEBIDAS CAMPO GRANDE    MASCARENHAS DE MORAE         5       0,751         213,35   0,12   0,15   0,14  99,93  99,93   455     4,84  456
     31  44247985000120 FILEMON MEDINA DA SILVA  CAMPO GRANDE    RUA CLEMENTE PEREIRA         4       0,628         101,45   0,11   0,12   0,06 100,00 100,00   457     3,07  A14

                                                              Total destes clientes:      4.026     493,175     147.415,34 100,00 100,00 100,00 100,00 100,00

                                                                        Total geral:      4.026     493,175     147.415,34 100,00 100,00 100,00 100,00 100,00
