 M 
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
TRIUNFANTE MATOGROSSENSE ALIMENTOS LTDA                                                                                                    12 Faturamento          Ref:em11302
Filial: CAMPO GRANDE                                                                                                                                    Emissao    Hora   Folha
                                          CURVA ABC DE CLIENTES SOBRE VENDAS REFERENTE A VALORES NO PERIODO DE 23/12/23 A 23/12/23                      23/12/23   10:56   0001
-----GRUPO TRIUNFANTE-----------------------------------------------------------------------------------------------------------------------------------Usuario: willian-------
Ranking *---------------Cliente----------------* Cidade          Endereco            Peso Bruto      Caixas          Valor    %PB    %Cx   %Vlr   %ACP   %ACG  Repr Pr.Medio Censo

 Fornec: GERAL                Repres: GERAL                 Linha: GERAL                 Censo: GERAL

      1   1274396000632 DAMASCENO E DAMASCENO LT ANASTACIO       DA INTEGRACAO              985     328,119      52.156,51  29,67  39,90  35,94  35,94  35,94     3     5,43  A36
      2   1274396000985 DAMASCENO E DAMASCENO LT MIRANDA         RUA NICOLA CANDIA          354      73,417      12.691,12  10,65   8,92   8,74  44,69  44,69     3     1,86  A35
      3   1274396000390 DAMASCENO E DAMASCENO LT AQUIDAUANA      SETE DE SETEMBRO           287      59,640      11.855,32   8,65   7,25   8,17  52,86  52,86     3     4,55  A35
      4  12625531000159 S A ANTEZANA AYALA EIREL CORUMBA         EDU ROCHA                  224      63,000      10.092,36   6,75   7,66   6,95  59,81  59,81   414     0,88  456
      5  46876542000123 SUPERMERCADO FERNANDES P CORUMBA         AV PORTO CARREIRO          215      39,159       8.871,61   6,50   4,76   6,11  65,93  65,93   414     1,67  A35
      6   1274396000713 DAMASCENO E DAMASCENO LT MIRANDA         RUA GEN AMARO BITENC       288      43,699       8.650,29   8,67   5,31   5,96  71,89  71,89     3     3,86  A35
      7   1274396000209 DAMASCENO E DAMASCENO LT ANASTACIO       JOAO LEITE RIBEIRO         197      35,443       7.456,21   5,93   4,31   5,13  77,03  77,03     3     4,45  A35
      8   1274396000128 DAMASCENO E DAMASCENO LT AQUIDAUANA      SETE DE SETEMBRO           137      31,823       5.233,94   4,14   3,87   3,60  80,64  80,64     3     5,23  A35
      9  46876542000204 SUPERMERCADO FERNANDES P LADARIO         RUA AFONSO PENA            111      17,066       4.039,75   3,35   2,07   2,78  83,42  83,42   414     2,06  A15
     10   5558376000300 JOAO ROBERTO TAVEIRA     AQUIDAUANA      DUQUE DE CAXIAS             80      17,000       3.680,88   2,41   2,06   2,53  85,96  85,96   413     1,46  A36
     11   1274396000470 DAMASCENO E DAMASCENO LT MIRANDA         SAO BENEDITO                96      18,383       3.333,39   2,90   2,23   2,29  88,25  88,25   413     2,85  A35
     12   5348350000167 BATISTA QUADROS E CIA LT AQUIDAUANA      OSCAR TRINDADE DE BA        57      21,300       3.320,36   1,73   2,59   2,28  90,54  90,54     3    12,86  A36
     13   1547436000168 AQUINO COMERCIO VAREJIST BODOQUENA       JOSE ROQUE DE CARVAL        47      13,831       2.670,40   1,41   1,68   1,84  92,38  92,38     3     7,67  A35
     14   5348350000248 BATISTA QUADROS E CIA LT AQUIDAUANA      RUA ESTEVAO ALVES CO        36      14,000       2.014,32   1,11   1,70   1,38  93,77  93,77     3    11,99  A35
     15  24474821000128 SALOME PACARA RAMOS      CORUMBA         GONCALVES DIAS              43      11,629       1.599,13   1,30   1,41   1,10  94,87  94,87    14     6,86  A40
     16  19851425000132 CACIQUE SUPERMERCADO LTD MIRANDA         JOAO PEDRO PEDROSSIA        26       3,718       1.272,01   0,79   0,45   0,87  95,75  95,75   413     3,11  456
     17   5348350000329 BATISTA QUADROS E CIA LT ANASTACIO       TRAVESSA RAGALZI            18       7,000       1.007,16   0,55   0,85   0,69  96,44  96,44     3    11,99  A35
     18  31810935000167 MARIO GARCIA SILES       CORUMBA         RUA EDU ROCHA               21       6,000         928,80   0,64   0,72   0,64  97,08  97,08   414     0,86  A14
     19   6133042000187 AMARAL E GOIS LTDA  EPP  MIRANDA         RUA BARAO DO RIO BRA        13       2,249         837,45   0,41   0,27   0,57  97,66  97,66   413     5,47  A36
     20   4579237000200 MANSUR LOPES DUARTE EIRE MIRANDA         GAL AMARO BITENCOURT        15       2,403         801,47   0,46   0,29   0,55  98,21  98,21   413     4,91  A36
     21  44126038000180 BENITA CONDORI VARGAS    CORUMBA         RUA GONCALVES DIAS          10       2,250         546,45   0,30   0,27   0,37  98,59  98,59   414     2,00  A02
     22  26620285000157 SANDRA FRANCO SOLIZ      CORUMBA         EDU ROCHA                   11       3,701         513,79   0,35   0,45   0,35  98,95  98,95    14     8,85  K11
     23  11180306000193 KAIANE CONVENIENCIA LTDA CORUMBA         AV CARRERO                   5       1,249         374,62   0,17   0,15   0,25  99,20  99,20   414     2,65  A02
     24  18522914000188 MARCOS MANZANEDA CANAZA  CORUMBA         DOM AQUINO                  16       2,000         267,52   0,48   0,24   0,18  99,39  99,39   414     2,47  A40
     25   4579237000120 MANSUR LOPES DUARTE      MIRANDA         TIRADENTES                   4       0,603         245,24   0,14   0,07   0,16  99,56  99,56   413     3,18  A40
     26  17482268000100 PANDOLFO MINIMERCADO LTD CORUMBA         RUA GONCALVES DIAS           4       1,392         229,19   0,14   0,16   0,15  99,71  99,71   414     0,92  A14
     27   7690271000165 D M MEDINA               BODOQUENA       AV MANOEL RODRIGUES          4       0,627         206,33   0,13   0,07   0,14  99,86  99,86   413     1,09  456
     28  29757307000113 CAMILA FLORES ALVAREZ    CORUMBA         RUA TREZE DE JUNHO           4       1,500         200,25   0,14   0,18   0,13 100,00 100,00   414     0,89  K09

                                                              Total destes clientes:      3.322     822,201     145.095,87 100,00 100,00 100,00 100,00 100,00

                                                                        Total geral:      3.322     822,201     145.095,87 100,00 100,00 100,00 100,00 100,00
