 M 
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
TRIUNFANTE MATOGROSSENSE ALIMENTOS LTDA                                                                                                    12 Faturamento          Ref:em11302
Filial: CAMPO GRANDE                                                                                                                                    Emissao    Hora   Folha
                                          CURVA ABC DE CLIENTES SOBRE VENDAS REFERENTE A VALORES NO PERIODO DE 21/02/24 A 21/02/24                      21/02/24   11:48   0001
-----GRUPO TRIUNFANTE-----------------------------------------------------------------------------------------------------------------------------------Usuario: willian-------
Ranking *---------------Cliente----------------* Cidade          Endereco            Peso Bruto      Caixas          Valor    %PB    %Cx   %Vlr   %ACP   %ACG  Repr Pr.Medio Censo

 Fornec: GERAL                Repres: GERAL                 Linha: GERAL                 Censo: GERAL

      1   3029716000100 HORTIFRUTI SANTA RITA LT CAMPO GRANDE    GUAICURUS                   73      16,745       3.238,86  16,25  20,31  18,95  18,95  18,95   153     2,07  A15
      2  50806425000160 JAQUELINE DE ALENCAR PUL CAMPO GRANDE    RUA CANAA                   34       6,587         984,06   7,68   7,99   5,75  24,70  24,70   155     4,94  A14
      3  16514485000171 SARA CRISTINA DUARTE TOR CAMPO GRANDE    RUA FRANK SINATRA           30       4,234         960,54   6,78   5,13   5,62  30,33  30,33   459     2,21  456
      4  17024927000164 APARECIDO ALVES DA SILVA CAMPO GRANDE    SOUTO MAIOR                 16       3,214         876,50   3,70   3,89   5,12  35,45  35,45   451     2,00  A02
      5  11430823000173 LAPORTE COMERCIO DE ALIM CAMPO GRANDE     CARLOS GARDEL              15       6,375         860,65   3,36   7,73   5,03  40,49  40,49   153     7,17  A15
      6  20637844000155 MOCCELIN E DIAS LTDA ME  CAMPO GRANDE    AICAS                       19       2,758         768,89   4,24   3,34   4,49  44,99  44,99   451     3,54  456
      7  17255071000138 MARISA O SANTOS CONVENIE CAMPO GRANDE    GUAICURUS                   11       1,799         699,35   2,57   2,18   4,09  49,08  49,08   459     5,50  456
      8   6914827000197 VERONICA RITA DA CONCEIC CAMPO GRANDE    SAO NICOLAU                 28       3,251         565,48   6,38   3,94   3,30  52,39  52,39   155     5,89  A14
      9  15526510000174 MERCEARIA ROCHA LTDA     CAMPO GRANDE    RUA SANTA QUITERIA          15       2,687         509,61   3,36   3,25   2,98  55,37  55,37   453     2,15  A15
     10   3675544000141 ASSIS PASSOS E CIA LTDA  CAMPO GRANDE    RIO GRANDE DO SUL            6       1,331         461,90   1,49   1,61   2,70  58,07  58,07   455     2,08  A35
     11  12418621000179 EDUARDO CANDIDO COXEV    CAMPO GRANDE    RUA PONTE PRETA             12       1,995         439,16   2,75   2,42   2,56  60,64  60,64   457     2,46  456
     12  13211223000140 LAIZA MUDO DA SILVA LTDA CAMPO GRANDE    AVENIDA TAMANDARE           25       2,949         435,99   5,77   3,57   2,55  63,20  63,20   155     8,54  A09
     13   7982725000171 SUPERMERCADO ATHENAS LTD CAMPO GRANDE    FATIMA DO SUL               13       2,250         432,24   2,91   2,72   2,52  65,72  65,72   451     1,31  A15
     14  86888708000146 ROUXINOIS COMERCIO DE AL CAMPO GRANDE    RUA EDCEL M NOGUEIRA         8       1,222         400,81   1,99   1,48   2,34  68,07  68,07   459     2,76  A14
     15  40551960000164 MARAJA CONVENIENCIA LTDA CAMPO GRANDE    RUA ENGENHEIRO MILTO         9       1,294         390,68   2,18   1,56   2,28  70,36  70,36   459     4,29  456
     16  27385563000100 MAYKON FERREIRA ROSA     CAMPO GRANDE    RUA ALFREDO NOBEL            5       1,063         362,47   1,31   1,28   2,12  72,48  72,48   457     3,35  456
     17    580302000186 COMERCIO DE BEBIDAS LAUR CAMPO GRANDE    RUA QUINHEIRA                8       1,465         357,62   1,90   1,77   2,09  74,57  74,57   457     3,37  456
     18  40343479000345 ARAPONGAS SUPERMERCADO L CAMPO GRANDE    RUA AMAZONAS                 9       1,829         345,43   2,17   2,21   2,02  76,59  76,59   401     1,77  A15
     19  46958123000130 MARAJA CONVENIENCIA LTDA CAMPO GRANDE    RUA PADRE MUSA TUMA          5       0,763         335,73   1,17   0,92   1,96  78,56  78,56   459     4,79  456
