 M 
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
TRIUNFANTE MATOGROSSENSE ALIMENTOS LTDA                                                                                                    12 Faturamento          Ref:em11302
Filial: CAMPO GRANDE                                                                                                                                    Emissao    Hora   Folha
                                          CURVA ABC DE CLIENTES SOBRE VENDAS REFERENTE A VALORES NO PERIODO DE 23/01/24 A 23/01/24                      23/01/24   11:23   0001
-----GRUPO TRIUNFANTE-----------------------------------------------------------------------------------------------------------------------------------Usuario: willian-------
Ranking *---------------Cliente----------------* Cidade          Endereco            Peso Bruto      Caixas          Valor    %PB    %Cx   %Vlr   %ACP   %ACG  Repr Pr.Medio Censo

 Fornec: GERAL                Repres: GERAL                 Linha: GERAL                 Censo: GERAL

      1  31147798000122 HELO COMERCIO DE ALIMENT DOURADOS        BRASIL                     261      30,000       9.016,77  26,13  10,89  17,84  17,84  17,84   407     6,26  A35
      2   9531413001068 OLIVEIRA E CARNEIRO LTDA TERENOS         RUA PEDRO CELESTINO         74      39,000       4.882,72   7,45  14,16   9,66  27,51  27,51    23    10,43  A35
      3   9531413000509 OLIVEIRA E CARNEIRO LTDA CAMPO GRANDE    DOUTOR GUNTER HANS          63      32,000       4.064,66   6,33  11,62   8,04  35,56  35,56    23    10,58  A15
      4   9531413000177 OLIVEIRA E CARNEIRO LTDA CAMPO GRANDE    URQUIZA                     58      27,000       3.563,76   5,87   9,80   7,05  42,61  42,61    23    10,99  A35
      5  35831943000140 SUPERMERCADO GAUCHAO LTD CAMPO GRANDE    PADRE MUSA TUMA             69      11,997       3.493,74   6,95   4,35   6,91  49,53  49,53   401     3,59  A15
      6  35831943000302 SUPERMERCADO GAUCHAO LTD CAMPO GRANDE    AV RITA VIEIRA DE AN        69      11,997       3.493,74   6,95   4,35   6,91  56,44  56,44   401     3,59  A15
      7   9531413001300 OLIVEIRA E CARNEIRO LTDA CAMPO GRANDE    AV SAO NICOLAU              28      17,000       2.011,40   2,83   6,17   3,98  60,42  60,42    23     9,85  A35
      8  70357496000211 DALLE GRAVE E MARIOTTI L CAMPO GRANDE    QUATORZE DE JULHO            4       5,907       1.761,48   0,47   2,14   3,48  63,91  63,91   120    13,98  K15
      9  70357496000130 DALLE GRAVE E MARIOTTI L CAMPO GRANDE    DOM AQUINO                   4       4,895       1.607,41   0,43   1,77   3,18  67,09  67,09   120    14,10  K15
     10  16582331000117 DUENHA COMERCIO ALIMENTO CAMPO GRANDE    EVELINA FIGUEIREDO S        41       8,803       1.588,58   4,18   3,19   3,14  70,24  70,24   453     1,22  A02
     11  70357496000483 DALLE GRAVE E MARIOTTI L CAMPO GRANDE    RUA 14 DE JULHO              4       3,906       1.395,71   0,40   1,41   2,76  73,00  73,00   120    14,53  A08
