 M 
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
TRIUNFANTE MATOGROSSENSE ALIMENTOS LTDA                                                                                                    12 Faturamento          Ref:em11302
Filial: CAMPO GRANDE                                                                                                                                    Emissao    Hora   Folha
                                          CURVA ABC DE CLIENTES SOBRE VENDAS REFERENTE A VALORES NO PERIODO DE 24/01/24 A 24/01/24                      24/01/24   10:54   0001
-----GRUPO TRIUNFANTE-----------------------------------------------------------------------------------------------------------------------------------Usuario: willian-------
Ranking *---------------Cliente----------------* Cidade          Endereco            Peso Bruto      Caixas          Valor    %PB    %Cx   %Vlr   %ACP   %ACG  Repr Pr.Medio Censo

 Fornec: GERAL                Repres: GERAL                 Linha: GERAL                 Censo: GERAL

      1  39575110000117 BUY AT HOME COM VAREJ DE CAMPO GRANDE    AV CONSUL ASSAF TRAD       148      22,000       7.158,61  21,70  19,48  26,91  26,91  26,91   401     5,94  456
      2  34574094000124 MDHF COM VAREJ DE PROD A CAMPO GRANDE    RUA ANTONIO DE MORAI        43       7,130       2.469,59   6,34   6,31   9,28  36,20  36,20   401     3,38  A02
      3   4738857000245 SUPERMERCADO DUARTE LTDA CAMPO GRANDE    RUA ANACA                   41       6,000       1.340,84   6,01   5,31   5,04  41,24  41,24    23     4,46  A35
      4   4738857000164 SUPERMERCADO DUARTE LTDA CAMPO GRANDE    MANOEL DA COSTA LIMA        34       5,000       1.101,77   5,01   4,42   4,14  45,39  45,39    23     4,40  A35
      5   7140724000260 GAEDICKE E CIA LTDA      CAMPO GRANDE    NORTE                       40       7,741       1.018,99   5,94   6,85   3,83  49,22  49,22    23     5,85  A35
      6  20637844000155 MOCCELIN E DIAS LTDA ME  CAMPO GRANDE    AICAS                       16       2,855         924,37   2,45   2,52   3,47  52,69  52,69   451     4,36  456
      7   7140724000180 GAEDICKE E CIA LTDA      CAMPO GRANDE    SANTO ANGELO                23       5,580         902,99   3,47   4,94   3,39  56,09  56,09    23     3,97  A35
      8  24694888000178 JAILSON MARCELO CEOLIN   CAMPO GRANDE    TAMADARE                    10       1,875         720,05   1,46   1,66   2,70  58,80  58,80   457     5,25  456
      9   4738857000326 SUPERMERCADO DUARTE LTDA CAMPO GRANDE    RUA PLANALTINA              20       3,000         670,43   3,00   2,65   2,52  61,32  61,32    23     4,46  A15
     10   4738857000407 SUPERMERCADO DUARTE LTDA CAMPO GRANDE    ESMERALDO MALUF             20       3,000         670,43   3,00   2,65   2,52  63,84  63,84    23     4,46  A35
     11   4738857000598 SUPERMERCADO DUARTE LTDA CAMPO GRANDE    GUALTER BARBOSA             20       3,000         670,43   3,00   2,65   2,52  66,36  66,36    23     4,46  A15
     12  15526510000174 MERCEARIA ROCHA LTDA     CAMPO GRANDE    RUA SANTA QUITERIA          11       2,087         554,32   1,72   1,84   2,08  68,44  68,44   453     2,27  A15
     13    580302000186 COMERCIO DE BEBIDAS LAUR CAMPO GRANDE    RUA QUINHEIRA               14       2,544         537,41   2,15   2,25   2,02  70,47  70,47   457     3,10  456
     14  15585816000100 CELSO IWASHITA MEI       CAMPO GRANDE    PEDRO FERNANDES VIEI         9       2,131         523,63   1,42   1,88   1,96  72,43  72,43   459     1,33  A14
     15  35795689000172 MERCADO CANAA PRODUTOS A CAMPO GRANDE    AV FLORESTAL                32       4,000         517,06   4,79   3,54   1,94  74,38  74,38   457     2,39  A02
     16  12469820000106 MERCADO KI PRECO         CAMPO GRANDE    DOLORES DURAN               11       2,690         497,54   1,74   2,38   1,87  76,25  76,25   459     1,17  A14
     17   8717115000103 J L L  LANCHES E REFEICO CAMPO GRANDE    REDENTOR                     9       3,080         424,66   1,41   2,72   1,59  77,85  77,85   155     5,24  A16
     18  23466551000140 COMERCIAL DIAS DE ALIMEN CAMPO GRANDE    DOUTOR EULER DE AZEV        24       3,000         415,92   3,57   2,65   1,56  79,41  79,41   457     2,56  A15
     19  36983142000163 E N A CASA DE CARNES E C CAMPO GRANDE    AVENIDA 2                    9       1,792         395,32   1,42   1,58   1,48  80,90  80,90   457     1,76  A14
     20  40551960000164 MARAJA CONVENIENCIA LTDA CAMPO GRANDE    RUA ENGENHEIRO MILTO         8       1,099         394,83   1,22   0,97   1,48  82,38  82,38   459     4,53  456
     21  11430823000173 LAPORTE COMERCIO DE ALIM CAMPO GRANDE     CARLOS GARDEL               7       0,984         369,10   1,03   0,87   1,38  83,77  83,77   459     5,76  A15
     22  34498500000117 GAZOLLA E COSTA COMERCIO CAMPO GRANDE    PEDRO GOMES                  6       1,647         363,60   0,98   1,45   1,36  85,14  85,14   451     1,27  A14
     23  46958123000130 MARAJA CONVENIENCIA LTDA CAMPO GRANDE    RUA PADRE MUSA TUMA          9       1,266         362,56   1,42   1,12   1,36  86,50  86,50   459     2,13  456
     24  50806425000160 JAQUELINE DE ALENCAR PUL CAMPO GRANDE    RUA CANAA                   13       1,500         264,85   2,01   1,32   0,99  87,50  87,50   155     9,80  A14
     25   7691695000144 CORREA MERC E COM VAREJI CAMPO GRANDE    TRAVESSA SANTIAGO            3       0,750         256,95   0,57   0,66   0,96  88,46  88,46   453     5,03  A02
     26  21268851000190 ANDERSON SAMANIEGO BRAGA CAMPO GRANDE    SANTA QUITERIA               7       1,094         253,73   1,04   0,96   0,95  89,42  89,42   453     3,09  456
     27  13479697000177 DAPHINE CONVENIENCIA LTD CAMPO GRANDE    GAUDILEY BRUN                8       1,295         247,35   1,22   1,14   0,93  90,35  90,35   453     3,48  456
     28  27659045000129 IVANA MOSQUEIRA AMARAL   CAMPO GRANDE    BRIGADEIRO TOBIAS            6       1,003         239,41   1,00   0,88   0,90  91,25  91,25   153     4,78  A14
     29  38075613000160 GILVAN LINO DA SILVA     CAMPO GRANDE    CARLOTA MASSA FARINA         6       1,280         230,22   0,89   1,13   0,86  92,11  92,11   459     1,16  A14
     30  86888708000146 ROUXINOIS COMERCIO DE AL CAMPO GRANDE    RUA EDCEL M NOGUEIRA         3       0,672         223,22   0,55   0,59   0,83  92,95  92,95   459     2,72  A14
     31  24617141000116 JC COMERCIO DE PRODUTOS  CAMPO GRANDE    RUA BARAO DE LIMEIRA         4       1,539         222,28   0,70   1,36   0,83  93,79  93,79   153     4,44  456
     32  15798201000153 GABRIELA DOS REIS SANTOS CAMPO GRANDE    RUA SOUTO MAIOR              6       1,424         219,50   0,94   1,26   0,82  94,61  94,61   451     1,16  A14
     33  32850683000162 JOAO D ARC FERREIRA DOS  CAMPO GRANDE    RUA DA BALEIA                4       1,024         182,33   0,60   0,90   0,68  95,30  95,30   451     0,90  A15
     34  17024927000164 APARECIDO ALVES DA SILVA CAMPO GRANDE    SOUTO MAIOR                  4       1,142         173,57   0,64   1,01   0,65  95,95  95,95   451     0,99  A02
     35  31191298000198 COMERCIAL RUPP DELFINO L CAMPO GRANDE    FERNAO DE MAGALHAES          2       0,500         171,30   0,38   0,44   0,64  96,60  96,60   457     5,03  A14
     36  29938119000191 ANA PAULA FERREIRA DE SO CAMPO GRANDE    RUA DOM LADISLAU PAZ         5       0,924         169,39   0,80   0,81   0,63  97,23  97,23   155     4,70  A14
     37  12940791000119 NUNES E NASCIMENTO LTDA  CAMPO GRANDE    MASCARANHAS DE MORAI         3       0,891         144,27   0,46   0,78   0,54  97,78  97,78   455     0,89  456
     38  27080881000154 ABEDIAS ANDRE AVELINO    CAMPO GRANDE    RUA AGNELO SOUZA CAS         7       1,000         135,50   1,16   0,88   0,50  98,29  98,29   453     2,50  A02
     39  27499155000170 GE COMERCIAL DE ALIMENTO CAMPO GRANDE    RUA VALERIO DE ALMEI         6       0,830         131,52   1,00   0,73   0,49  98,78  98,78   453     2,92  A14
     40  10930180000164 ELIANA FERREIRA DA SILVA CAMPO GRANDE    LEAO ZARDO                   2       0,693         108,36   0,36   0,61   0,40  99,19  99,19   451     0,86  1
     41  19590649000138 NATHALIA PATEZ RODRIGUES CAMPO GRANDE    GENERAL ALBERTO CARL         2       0,693         108,36   0,36   0,61   0,40  99,59  99,59   451     0,86  456
     42  43219993000108 MARTINS ACOUGUE E CONVEN CAMPO GRANDE    RUA JANUARIO BARBOSA         6       1,126         106,50   0,88   0,99   0,40 100,00 100,00   155     3,94  A13

                                                              Total destes clientes:        685     112,881      26.593,06 100,00 100,00 100,00 100,00 100,00

                                                                        Total geral:        685     112,881      26.593,06 100,00 100,00 100,00 100,00 100,00
